Temperature,Fuel_Price,CPI,Unemployment,holiday,inventory_level,day,month,year,week,dayofweek,lag_1,lag_7,rolling_mean_7,actual_sales,predicted_sales,store_id,Date,final_forecast,history_count
55.76,2.732,209.7870932,8.554,0,1031555.94,26,3,2010,12,4,460020.74,536006.73,511735.6457142857,515777.97,516209.63929999986,37,2010-03-26,516209.63929999986,136
63.43,2.719,209.5938656,8.464,0,1080379.4,2,4,2010,13,4,515777.97,529852.7,508845.82285714283,540189.7,540109.6751999999,37,2010-04-02,540109.6751999999,136
68.54,2.77,209.400638,8.464,0,1026655.1,9,4,2010,14,4,540189.7,510382.5,510322.5371428571,513327.55,513184.1744000005,37,2010-04-09,513184.1744000005,136
66.74,2.808,209.2691428,8.464,0,1049089.66,16,4,2010,15,4,513327.55,513615.82,510743.25857142854,524544.83,524519.9944000005,37,2010-04-16,524519.9944000005,136
68.03,2.795,209.2199574,8.464,0,1054039.56,23,4,2010,16,4,524544.83,519255.68,512304.5457142857,527019.78,527165.6104000002,37,2010-04-23,527165.6104000002,136
70.9,2.78,209.170772,8.464,0,1035701.66,30,4,2010,17,4,527019.78,513015.35,513413.70285714284,517850.83,517960.6095999996,37,2010-04-30,517960.6095999996,136
75.56,2.835,209.1215867,8.464,0,1086469.54,7,5,2010,18,4,517850.83,460020.74,514104.4857142857,543234.77,543054.2299000002,37,2010-05-07,543054.2299000002,136
77.53,2.854,209.118536,8.464,0,1010392.16,14,5,2010,19,4,543234.77,515777.97,525992.2042857142,505196.08,505212.98359999986,37,2010-05-14,505212.98359999986,136
77.34,2.826,209.3922937,8.464,0,1020989.4,21,5,2010,20,4,505196.08,540189.7,524480.5057142858,510494.7,510585.3090000002,37,2010-05-21,510585.3090000002,136
80.87,2.759,209.6660514,8.464,0,1064482.44,28,5,2010,21,4,510494.7,513327.55,520238.36285714287,532241.22,532247.9031000002,37,2010-05-28,532247.9031000002,136
79.93,2.705,209.9398091,8.464,0,958390.04,4,6,2010,22,4,532241.22,524544.83,522940.3157142857,479195.02,479415.9964999999,37,2010-06-04,479415.9964999999,136
82.3,2.668,210.2135668,8.464,0,963830.22,11,6,2010,23,4,479195.02,527019.78,516461.7714285715,481915.11,482056.8908999999,37,2010-06-11,482056.8908999999,136
84.37,2.637,210.2108417,8.464,0,1011523.24,18,6,2010,24,4,481915.11,517850.83,510018.2471428571,505761.62,506045.86249999964,37,2010-06-18,506045.86249999964,136
84.14,2.653,210.0975233,8.464,0,970838.78,25,6,2010,25,4,505761.62,543234.77,508291.2171428572,485419.39,485364.1298999997,37,2010-06-25,485364.1298999997,136
81.85,2.669,209.984205,8.36,0,996585.06,2,7,2010,26,4,485419.39,505196.08,500031.8771428571,498292.53,498388.28309999994,37,2010-07-02,498388.28309999994,136
81.74,2.642,209.8708867,8.36,0,1004912.08,9,7,2010,27,4,498292.53,510494.7,499045.65571428573,502456.04,502337.01560000004,37,2010-07-09,502337.01560000004,136
84.43,2.623,209.8630532,8.36,0,970300.02,16,7,2010,28,4,502456.04,532241.22,497897.27571428573,485150.01,485048.41649999993,37,2010-07-16,485048.41649999993,136
82.6,2.608,209.9958663,8.36,0,983996.24,23,7,2010,29,4,485150.01,479195.02,491169.95999999996,491998.12,491763.26430000016,37,2010-07-23,491763.26430000016,136
81.88,2.64,210.1286794,8.36,0,975825.9,30,7,2010,30,4,491998.12,481915.11,492998.9742857143,487912.95,488306.78989999957,37,2010-07-30,488306.78989999957,136
85.49,2.627,210.2614925,8.36,0,1017153.24,6,8,2010,31,4,487912.95,505761.62,493855.8085714286,508576.62,508652.23689999984,37,2010-08-06,508652.23689999984,136
86.06,2.692,210.3943056,8.36,0,983631.66,13,8,2010,32,4,508576.62,485419.39,494257.95142857137,491815.83,491698.3281000001,37,2010-08-13,491698.3281000001,136
85.54,2.664,210.3617581,8.36,0,973861.44,20,8,2010,33,4,491815.83,498292.53,495171.72857142857,486930.72,487389.5995999997,37,2010-08-20,487389.5995999997,136
84.62,2.619,210.3292106,8.36,0,1024314.5,27,8,2010,34,4,486930.72,502456.04,493548.61285714287,512157.25,512316.0766000003,37,2010-08-27,512316.0766000003,136
82.29,2.577,210.2966631,8.36,0,1020855.06,3,9,2010,35,4,512157.25,485150.01,494934.5,510427.53,510541.1317000004,37,2010-09-03,510541.1317000004,136
80.58,2.565,210.2641156,8.36,0,1020592.14,10,9,2010,36,4,510427.53,491998.12,498545.5742857143,510296.07,510007.2416000004,37,2010-09-10,510007.2416000004,136
82.1,2.582,210.2924504,8.36,0,1002502.8,17,9,2010,37,4,510296.07,487912.95,501159.5671428571,501251.4,500471.11820000014,37,2010-09-17,500471.11820000014,136
79.17,2.624,210.3664469,8.36,0,988530.96,24,9,2010,38,4,501251.4,508576.62,503065.06,494265.48,493758.4696999999,37,2010-09-24,493758.4696999999,136
74.66,2.603,210.4404433,8.476,0,1059755.86,1,10,2010,39,4,494265.48,491815.83,501020.61142857146,529877.93,529346.3671999997,37,2010-10-01,529346.3671999997,136
66.34,2.633,210.5144398,8.476,0,1048967.3,8,10,2010,40,4,529877.93,486930.72,506458.0542857143,524483.65,524247.9114000001,37,2010-10-08,524247.9114000001,136
71.57,2.72,210.5805944,8.476,0,997851.72,15,10,2010,41,4,524483.65,512157.25,511822.7585714286,498925.86,498517.2096000002,37,2010-10-15,498517.2096000002,136
72.24,2.725,210.6271444,8.476,0,1020850.8,22,10,2010,42,4,498925.86,510427.53,509932.56,510425.4,510532.0339000001,37,2010-10-22,510532.0339000001,136
76.22,2.716,210.6736944,8.476,0,1028971.8,29,10,2010,43,4,510425.4,510296.07,509932.2557142857,514485.9,514678.2513000004,37,2010-10-29,514678.2513000004,136
62.72,2.689,210.7202444,8.476,0,1079366.84,5,11,2010,44,4,514485.9,501251.4,510530.8028571429,539683.42,539666.8220000003,37,2010-11-05,539666.8220000003,136
61.97,2.728,210.7667944,8.476,0,1035093.38,12,11,2010,45,4,539683.42,494265.48,516021.09142857144,517546.69,517486.04339999944,37,2010-11-12,517486.04339999944,136
